world_id,n_examples,accuracy,macro_f1,pred_missing_rate,support_true,accuracy_true,pred_rate_true,support_false,accuracy_false,pred_rate_false,support_unknown,accuracy_unknown,pred_rate_unknown
eval_world_000000,72,0.4722222222222222,0.3703703703703704,0.0,24,0.9166666666666666,0.6666666666666666,24,0.5,0.3333333333333333,24,0.0,0.0
eval_world_000001,72,0.4166666666666667,0.3068181818181818,0.0,24,1.0,0.8888888888888888,24,0.25,0.1111111111111111,24,0.0,0.0
eval_world_000002,72,0.3888888888888889,0.26666666666666666,0.0,24,1.0,0.7777777777777778,24,0.16666666666666666,0.2222222222222222,24,0.0,0.0
eval_world_000003,72,0.4444444444444444,0.33547282841249465,0.0,24,1.0,0.8055555555555556,24,0.3333333333333333,0.19444444444444445,24,0.0,0.0
eval_world_000004,72,0.3611111111111111,0.2333333333333333,0.0,24,1.0,0.7777777777777778,24,0.08333333333333333,0.2222222222222222,24,0.0,0.0
eval_world_000005,72,0.6388888888888888,0.5140291806958474,0.0,24,1.0,0.5833333333333334,24,0.9166666666666666,0.4166666666666667,24,0.0,0.0
eval_world_000006,72,0.3055555555555556,0.1931818181818182,0.0,24,0.8333333333333334,0.8888888888888888,24,0.08333333333333333,0.1111111111111111,24,0.0,0.0
eval_world_000007,72,0.5833333333333334,0.4908424908424909,0.0,24,1.0,0.75,24,0.75,0.25,24,0.0,0.0
eval_world_000008,72,0.3055555555555556,0.2222222222222222,0.0,24,0.75,0.6666666666666666,24,0.16666666666666666,0.3333333333333333,24,0.0,0.0
eval_world_000009,72,0.4166666666666667,0.3166666666666667,0.0,24,0.9166666666666666,0.7777777777777778,24,0.3333333333333333,0.2222222222222222,24,0.0,0.0
eval_world_000010,72,0.4444444444444444,0.3444976076555024,0.0,24,0.9166666666666666,0.7222222222222222,24,0.4166666666666667,0.2777777777777778,24,0.0,0.0
eval_world_000011,72,0.4166666666666667,0.33035714285714285,0.0,24,0.75,0.5555555555555556,24,0.5,0.4444444444444444,24,0.0,0.0
eval_world_000012,72,0.3888888888888889,0.31070889894419307,0.0,24,0.6666666666666666,0.6111111111111112,24,0.5,0.3888888888888889,24,0.0,0.0
eval_world_000013,72,0.3333333333333333,0.26038159371492703,0.0,24,0.6666666666666666,0.5833333333333334,24,0.3333333333333333,0.4166666666666667,24,0.0,0.0
eval_world_000014,72,0.4166666666666667,0.3068181818181818,0.0,24,1.0,0.8888888888888888,24,0.25,0.1111111111111111,24,0.0,0.0
eval_world_000015,72,0.3333333333333333,0.26666666666666666,0.0,24,0.6666666666666666,0.7777777777777778,24,0.3333333333333333,0.2222222222222222,24,0.0,0.0
eval_world_000016,72,0.3888888888888889,0.30708969839404626,0.0,24,0.75,0.6944444444444444,24,0.4166666666666667,0.3055555555555556,24,0.0,0.0
eval_world_000017,72,0.5,0.4056482670089858,0.0,24,1.0,0.8055555555555556,24,0.5,0.19444444444444445,24,0.0,0.0
eval_world_000018,72,0.6666666666666666,0.5387205387205387,0.0,24,1.0,0.5833333333333334,24,1.0,0.4166666666666667,24,0.0,0.0
