world_id,state_key,pair_type,mean_cosine_distance,median_cosine_distance,n_pairs,same_label_pair
eval_world_000000,final_prompt,False,0.030098669554876244,0.030168890953063965,276,True
eval_world_000000,final_prompt,False__True,0.04265180809630288,0.03971812129020691,576,False
eval_world_000000,final_prompt,False__Unknown,0.03426808781094021,0.032356858253479004,576,False
eval_world_000000,final_prompt,True,0.03592545657918073,0.03535008430480957,276,True
eval_world_000000,final_prompt,True__Unknown,0.04322113634811507,0.041558265686035156,576,False
eval_world_000000,final_prompt,Unknown,0.03193678328956383,0.029693961143493652,276,True
eval_world_000000,prompt_tail_mean,False,0.028450960914293926,0.028792858123779297,276,True
eval_world_000000,prompt_tail_mean,False__True,0.035220166875256434,0.03511187434196472,576,False
eval_world_000000,prompt_tail_mean,False__Unknown,0.03248206484648916,0.031762778759002686,576,False
eval_world_000000,prompt_tail_mean,True,0.030306077521780262,0.030317604541778564,276,True
eval_world_000000,prompt_tail_mean,True__Unknown,0.03558925373686685,0.035933494567871094,576,False
eval_world_000000,prompt_tail_mean,Unknown,0.029536879364994988,0.03160297870635986,276,True
eval_world_000000,verdict_token,False,0.03275755868441817,0.03901493549346924,276,True
eval_world_000000,verdict_token,False__True,0.03356708213686943,0.037339359521865845,576,False
eval_world_000000,verdict_token,False__Unknown,0.03252185011903445,0.03287544846534729,576,False
eval_world_000000,verdict_token,True,0.021051620659620865,0.017859697341918945,276,True
eval_world_000000,verdict_token,True__Unknown,0.029002294772201113,0.020904123783111572,576,False
eval_world_000000,verdict_token,Unknown,0.02801363083763399,0.02130126953125,276,True
eval_world_000000,verdict_span_mean,False,0.014373009187587793,0.01887601613998413,276,True
eval_world_000000,verdict_span_mean,False__True,0.014473824037445916,0.016054093837738037,576,False
eval_world_000000,verdict_span_mean,False__Unknown,0.014470531708664365,0.01523694396018982,576,False
eval_world_000000,verdict_span_mean,True,0.008876325643580893,0.00757288932800293,276,True
eval_world_000000,verdict_span_mean,True__Unknown,0.012535167651043998,0.009693771600723267,576,False
eval_world_000000,verdict_span_mean,Unknown,0.012522486025008602,0.010213613510131836,276,True
