feature,corr_with_correct,corr_with_token_count
state_cosine_min,-0.6189605050326505,0.46366630913795276
subspace_alignment_min,-0.39933503190631237,-0.08319950498779848
late_state_cosine_std,0.38231233796840036,0.5459698912066344
late_turning_angle_mean,0.3507507683473312,-0.25117717223022357
late_step_dir_cosine_mean,-0.34009834761761343,0.273300347796237
late_top3_var_frac,0.21605545586222744,0.21890600640286606
state_cosine_mean,-0.19660257636119985,0.5990119048764974
late_participation_ratio,-0.19009898789608962,-0.42165929430317356
late_top1_var_frac,0.16782840257485532,0.26460457268024024
direction_stability_full,-0.1471297492997548,-0.3380029478342258
turning_angle_max,0.1170539784737448,-0.4629789050392967
late_turning_angle_std,0.1096045426144639,0.49716617140995345
step_dir_cosine_min,-0.10844238260871943,0.47842495464134976
late_state_cosine_mean,-0.0867018818632048,0.02817757483244536
state_cosine_std,0.08518387492567754,-0.09184790285518378
turning_angle_std,0.07952655191157529,0.08872566500368467
late_step_dir_cosine_std,0.060103627078181315,0.5101025647713497
step_dir_cosine_mean,0.04790230593980004,0.5826125287518643
subspace_alignment_mean,-0.04107680906383828,-0.757621667104336
step_dir_cosine_std,0.03881141368360036,0.20639420694691205
turning_angle_mean,-0.03781642162452723,-0.5769769540349928
direction_stability_late,-0.02468968441525007,-0.7207363692393826
