sample_id,correct,token_count,answer_length,stop_reason,pred_answer,gold_answer,extractor_confident,has_uncertainty,path_length_total,path_length_per_token,net_displacement,displacement_ratio,step_norm_mean,step_norm_max,step_norm_std,late_step_norm_mean,late_step_norm_std,state_cosine_mean,state_cosine_min,state_cosine_std,late_state_cosine_mean,step_dir_cosine_mean,step_dir_cosine_min,step_dir_cosine_std,late_step_dir_cosine_mean,curvature_mean,curvature_max,late_curvature_mean,late_top1_var_frac,late_top3_var_frac,late_participation_ratio
sample_0001,False,202,111,eos_token,26,18,True,False,29703.69921875,147.77959810323384,223.35067749023438,0.007519288282762025,147.77960205078125,208.15655517578125,26.752939224243164,160.8217010498047,21.560501098632812,0.41289258003234863,-0.04313535988330841,0.17730148136615753,0.40165701508522034,-0.354412317276001,-0.8104937672615051,0.14528776705265045,-0.3417753577232361,1.3544121980667114,1.8104937076568604,1.3417752981185913,0.10895220935344696,0.2745387852191925,20.916526794433594
sample_0002,True,218,132,eos_token,3,3,True,False,32580.943359375,150.14259612615209,221.88516235351562,0.006810274334480536,150.14259338378906,203.11888122558594,26.13443946838379,159.15321350097656,21.883359909057617,0.41540995240211487,-0.06333272159099579,0.17678815126419067,0.4067205488681793,-0.3381202816963196,-0.8822357654571533,0.14972954988479614,-0.3452877104282379,1.3381202220916748,1.8822357654571533,1.345287799835205,0.12880198657512665,0.3039776086807251,18.638587951660156
sample_0003,False,358,150,eos_token,195000,70000,True,False,50650.3671875,141.87777923669466,220.79708862304688,0.004359239643923793,141.87777709960938,202.25918579101562,26.384658813476562,140.26437377929688,26.012409210205078,0.44843584299087524,0.018677741289138794,0.159694105386734,0.45821434259414673,-0.30931010842323303,-0.760443389415741,0.14961302280426025,-0.27991795539855957,1.3093100786209106,1.7604434490203857,1.2799180746078491,0.16187483072280884,0.2867231070995331,19.9540958404541
sample_0004,False,158,84,eos_token,180,540,True,False,24304.580078125,154.80624253582803,221.53941345214844,0.009115130265161088,154.80624389648438,209.0928192138672,26.034320831298828,154.8134002685547,26.264148712158203,0.39375096559524536,-0.03334455192089081,0.17249146103858948,0.4119313955307007,-0.3376593589782715,-0.7707653045654297,0.1308327168226242,-0.3152872920036316,1.3376593589782715,1.7707653045654297,1.3152873516082764,0.13943614065647125,0.325386643409729,16.211698532104492
sample_0005,True,351,196,eos_token,20,20,True,False,51451.41796875,147.00405133928572,221.7056884765625,0.00430902970664909,147.00405883789062,207.38092041015625,26.975765228271484,148.98516845703125,25.882770538330078,0.4163753092288971,-0.06244366243481636,0.17906734347343445,0.3973679840564728,-0.32864466309547424,-0.8240340352058411,0.15206189453601837,-0.3421470522880554,1.3286446332931519,1.8240339756011963,1.3421472311019897,0.13797003030776978,0.27101439237594604,22.37135124206543
sample_0006,False,234,125,eos_token,50,64,True,False,34871.00390625,149.66096097103005,222.60899353027344,0.006383785053299678,149.6609649658203,210.35887145996094,22.69615364074707,156.6909942626953,19.7006778717041,0.4110465943813324,-0.06079837679862976,0.1617199331521988,0.4011692702770233,-0.3264017701148987,-0.8703579306602478,0.13461796939373016,-0.321860671043396,1.3264018297195435,1.8703579902648926,1.321860671043396,0.11917441338300705,0.28532543778419495,20.445598602294922
sample_0007,True,221,105,eos_token,260,260,True,False,33463.24609375,152.1056640625,226.7197265625,0.006775186302229207,152.1056671142578,211.84169006347656,24.34006118774414,150.84523010253906,23.61274528503418,0.3925243020057678,-0.13858820497989655,0.16103383898735046,0.43155500292778015,-0.3423008322715759,-0.7654829621315002,0.12817277014255524,-0.33090949058532715,1.3423010110855103,1.7654829025268555,1.3309094905853271,0.11782122403383255,0.28820183873176575,19.79704475402832
sample_0008,False,380,172,eos_token,120,160,True,False,57091.04296875,150.63599727902374,221.25042724609375,0.003875396485000281,150.63600158691406,209.76048278808594,25.868093490600586,158.6331787109375,24.623310089111328,0.4115796387195587,-0.006716685835272074,0.1743384301662445,0.3918564021587372,-0.339336097240448,-0.7145430445671082,0.13452979922294617,-0.3353235721588135,1.3393360376358032,1.714543104171753,1.3353235721588135,0.11548662185668945,0.27424389123916626,21.341995239257812
sample_0009,False,512,282,max_new_tokens,4,45,True,False,78029.28125,152.69918052837573,211.21263122558594,0.0027068380977248326,152.6991729736328,207.3739013671875,22.270751953125,154.14883422851562,21.747163772583008,0.41239169239997864,0.003566436003893614,0.15078696608543396,0.37017256021499634,-0.35184454917907715,-0.8123191595077515,0.13174228370189667,-0.3609073758125305,1.3518445491790771,1.8123191595077515,1.3609075546264648,0.12660078704357147,0.28127118945121765,22.644834518432617
sample_0010,True,345,171,eos_token,460,460,True,False,52529.859375,152.70307957848837,223.37269592285156,0.00425229952222486,152.7030792236328,212.61521911621094,24.292036056518555,159.29649353027344,25.170452117919922,0.41385841369628906,-0.04099695011973381,0.1646062433719635,0.4024997651576996,-0.3197662830352783,-0.7191619873046875,0.128819078207016,-0.31073182821273804,1.3197661638259888,1.7191619873046875,1.3107317686080933,0.11086023598909378,0.2871036231517792,21.255956649780273
