question_id,dataset_index,dataset_sample_id,gold_answer,n_samples,n_ok,n_correct,n_wrong,n_capped,n_eos,n_extractor_confident,mixed_labels
q_0001,0,gsm8k_000000,18,5,5,3,2,0,5,5,True
q_0002,1,gsm8k_000001,3,10,10,10,0,0,10,10,False
q_0003,2,gsm8k_000002,70000,10,10,4,6,7,3,10,True
q_0004,3,gsm8k_000003,540,5,5,1,4,0,5,5,True
q_0005,4,gsm8k_000004,20,10,10,4,6,7,3,10,True
q_0006,5,gsm8k_000005,64,10,10,1,9,8,2,10,True
q_0007,6,gsm8k_000006,260,10,10,10,0,0,10,10,False
q_0008,7,gsm8k_000007,160,10,10,0,10,9,1,10,False
q_0009,8,gsm8k_000008,45,10,10,0,10,10,0,10,False
q_0010,9,gsm8k_000009,460,10,10,10,0,1,9,10,False
q_0011,10,gsm8k_000010,366,10,10,8,2,5,5,10,True
q_0012,11,gsm8k_000011,694,10,10,9,1,1,9,10,True
q_0013,12,gsm8k_000012,13,10,10,0,10,9,1,10,False
q_0014,13,gsm8k_000013,18,10,10,0,10,10,0,10,False
q_0015,14,gsm8k_000014,60,10,10,0,10,7,3,10,False
q_0016,15,gsm8k_000015,125,10,10,8,2,3,7,10,True
q_0017,16,gsm8k_000016,230,10,10,10,0,0,10,10,False
q_0018,17,gsm8k_000017,57500,5,5,3,2,1,4,5,True
q_0019,18,gsm8k_000018,7,5,5,3,2,0,5,5,True
q_0020,19,gsm8k_000019,6,10,10,4,6,9,1,10,True
